date,deposit_bank_txn_ids,correction_bank_txn_ids,original_deposit_cents,original_deposit,correction_cents,correction,effective_cash_deposit_cents,effective_cash_deposit,notes
2023-06-27,1694,,51545,515.45,0,0.00,51545,515.45,
2023-09-11,1671,,250000,2500.00,0,0.00,250000,2500.00,
2023-09-22,1652,,200000,2000.00,0,0.00,200000,2000.00,
2023-10-10,1621,,500000,5000.00,0,0.00,500000,5000.00,
2023-10-23,1567,,300000,3000.00,0,0.00,300000,3000.00,
2023-10-31,1544,,421500,4215.00,0,0.00,421500,4215.00,
2023-11-09,1515,,105000,1050.00,0,0.00,105000,1050.00,
2023-11-16,1502,,165000,1650.00,0,0.00,165000,1650.00,
2023-12-01,1479,,300000,3000.00,0,0.00,300000,3000.00,
2023-12-06,1462,,315000,3150.00,0,0.00,315000,3150.00,
2023-12-27,1429,,355000,3550.00,0,0.00,355000,3550.00,
2024-01-09,1392,,450000,4500.00,0,0.00,450000,4500.00,
2024-01-29,"1354,1355",,523750,5237.50,0,0.00,523750,5237.50,
2024-02-21,1304,,580000,5800.00,0,0.00,580000,5800.00,
2024-03-04,1259,,177000,1770.00,0,0.00,177000,1770.00,
2024-03-07,1245,,268300,2683.00,0,0.00,268300,2683.00,
2024-03-12,1226,,190000,1900.00,0,0.00,190000,1900.00,
2024-03-26,1191,,888000,8880.00,0,0.00,888000,8880.00,
2024-04-22,1130,,1060000,10600.00,0,0.00,1060000,10600.00,
2024-06-11,1089,,173915,1739.15,0,0.00,173915,1739.15,
2024-10-01,987,,1001000,10010.00,0,0.00,1001000,10010.00,
2024-10-16,"938,939",,919000,9190.00,0,0.00,919000,9190.00,
2024-10-29,885,,600170,6001.70,0,0.00,600170,6001.70,
2024-11-12,838,,750000,7500.00,0,0.00,750000,7500.00,
2024-11-18,825,,50000,500.00,0,0.00,50000,500.00,
2024-12-04,766,765,988000,9880.00,500,5.00,988500,9885.00,CORRECTION included (+$5.00) for undercounted cash on deposit.
2025-01-10,666,,1160000,11600.00,0,0.00,1160000,11600.00,
2025-01-20,631,,694500,6945.00,0,0.00,694500,6945.00,
2025-02-24,541,,1507000,15070.00,0,0.00,1000000,10000.00,EXCEPTION: 15070 deposit treated as 10000 due to same-day internal transfer out of 5070 (not business cash). | internal_transfer_out_bank_txn_id=540
2025-03-18,455,,950000,9500.00,0,0.00,950000,9500.00,
2025-05-05,359,,790000,7900.00,0,0.00,790000,7900.00,
