GIFI_Code,Description,Amount
8000,Trade sales of goods and services,181235
8299,Total revenue,181235
8518,Cost of sales,108373
8519,Gross profit / loss,72862
8520,Advertising and promotion,1606
8523,Meals and entertainment,518
8622,Employers portion of employee benefits,1463
8670,Amortization of tangible assets,508
8690,Insurance,1851
8710,Interest and bank charges,2218
8810,Office expenses,1998
8813,Data processing,1135
8860,Professional fees,879
8911,Real estate rental,8235
8960,Repairs and maintenance,429
9060,Salaries and wages,23485
9130,Supplies,5494
9131,Small tools,23
9270,Other expenses,71
9275,"Delivery, freight and express",100
9281,Vehicle expenses,4454
9367,Total operating expenses,54467
9368,Total expenses,162840
9999,Net income / loss after taxes/extraord item,18395
