year,month,ym,working_paper_remittance_cents,cra_payment_cents,delta_cents
2023,9,2023-09,0,2210,2210
2023,12,2023-12,0,151931,151931
2024,1,2024-01,29223,29223,0
2024,2,2024-02,82595,112463,29868
2024,3,2024-03,124927,124927,0
2024,4,2024-04,73290,73290,0
2024,5,2024-05,0,0,0
2024,6,2024-06,0,0,0
2024,7,2024-07,0,0,0
2024,8,2024-08,0,0,0
2024,9,2024-09,41618,41618,0
2024,10,2024-10,83006,83006,0
2024,11,2024-11,270341,228989,-41352
2024,12,2024-12,321032,257287,-63745
2025,1,2025-01,79600,79600,0
2025,2,2025-02,58974,58974,0
2025,3,2025-03,124032,124032,0
2025,4,2025-04,92960,92960,0
2025,5,2025-05,25717,25717,0
2025,6,2025-06,3402,3402,0
2025,7,2025-07,4519,4257,-262
2025,8,2025-08,11658,11658,0
2025,9,2025-09,64854,64854,0
2025,10,2025-10,91768,91768,0
2025,11,2025-11,69201,0,-69201
2025,12,2025-12,0,0,0
